"","soc","certificate","confidence_entry","confidence_cert","confidence","SOC","Raw"
"1","association of diving contractors international","life support technician",0.167020190567863,0.333333333333333,0.0800972182850205,"29-2055","basic life saving"
"2","association of diving contractors international","life support technician",0.324266145075711,0.647159571892113,0.301913617005845,"29-2055","advanced cardiac life support certification"
"4","national inspection, testing and certification corporation","star plumber mastery",0.167020190567863,0.333333333333333,0.0800972182850205,"47-2152","master plumber license"
"5","board of nephrology examiners technology nursing","board of nephrology examiners technology nursing",0.17755073351299,0.166666666666667,0.0425736547494752,"29-2055","certified nursing assistant"
"7","environmental protection agency","environmental protection agency",0.555151137458036,0.960936060438548,0.767494794623844,"49-9021","environmental protection agency certification"
"9","association of boards of certification","certified operator class i",0.160701515153852,0.240542048550347,0.0556135591922397,"49-9071","certified pool/spa operator"
"11","","",0,0,0,"49-3023","adjuster license"
"12","national institute for automotive service excellence","national institute for automotive service excellence",0.53723827255904,0.462593080651707,0.357549182901249,"49-3023","automotive service excellence certification"
"13","association of diving contractors international","life support technician",0.167020190567863,0.333333333333333,0.0800972182850205,"49-9062","basic life saving"
"20","association of boards of certification","certified operator class ii",0.128125116013367,0.191780879272359,0.0353516175805114,"49-2098","nicet ii"
"22","american public works association","certified public infrastructure inspector",0.175070276462745,0.262049569976409,0.0660032897687299,"13-2081","certified public accountant"
"30","environmental protection agency","environmental protection agency",0.555151137458036,0.960936060438548,0.767494794623844,"49-1011","environmental protection agency certification"
"31","national fire protection association","certified electrical safety worker",0.100212114340718,0.15,0.0216262489369555,"43-6014","social work license"
"38","building industry consulting service international","bicsi technician",0.167020190567863,0.5,0.120145827427531,"47-2061","bicsi certification"
"40","international association of plumbing and mechanical officials","service plumbing certification",0.233316704536515,0.465645707749956,0.156304381106405,"49-9071","plumbing certification"
"42","national institute for automotive service excellence","national institute for automotive service excellence",0.53723827255904,0.462593080651707,0.357549182901249,"49-9071","automotive service excellence certification"
"44","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"49-9071","occupational safety and health administration certification"
"48","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"49-3023","occupational safety and health administration certification"
"56","american petroleum institute","welding inspection and metallurgy professional",0.238203699161721,0.197029751861962,0.0675227350604417,"49-9071","welding certification"
"66","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"17-3013","security clearance"
"67","certified internet web professionals","site development associate",0.17755073351299,0.333333333333333,0.0851473094989504,"49-9052","certified career development facilitator"
"68","building industry consulting service international","bicsi technician",0.167020190567863,0.5,0.120145827427531,"49-9052","bicsi certification"
"75","environmental protection agency","environmental protection agency",0.555151137458036,0.960936060438548,0.767494794623844,"49-9071","environmental protection agency certification"
"82","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"49-9071","carpentry certification"
"83","","",0,0,0,"35-1011","servsafe"
"86","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"47-2011","occupational safety and health administration certification"
"122","air conditioning contractors of america","epa section 608 certification - refrigerant handling",0.240684156211966,0.24017471120672,0.0831657470634476,"49-9071","epa cfc/hcfc certification"
"131","air conditioning contractors of america","epa section 608 certification - refrigerant handling",0.240684156211966,0.24017471120672,0.0831657470634476,"49-9021","epa cfc/hcfc certification"
"133","american society of plumbing engineers","certified in plumbing design",0.159652738892411,0.238972214002387,0.0548900332767021,"47-2152","plumbing license"
"134","international association of plumbing and mechanical officials","service plumbing certification",0.233316704536515,0.465645707749956,0.156304381106405,"47-2152","plumbing certification"
"135","air conditioning contractors of america","epa section 608 certification - refrigerant handling",0.240684156211966,0.24017471120672,0.0831657470634476,"27-4021","cash handling certification"
"136","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"49-1011","itil certification"
"137","computing technology industry association (comptia)","comptia it fundamentals",0.238203699161721,0.328382919769937,0.112537891767403,"49-1011","it infrastructure library certification"
"141","american public works association","certified public infrastructure inspector",0.175070276462745,0.262049569976409,0.0660032897687299,"43-6014","certified public accountant"
"145","board of certification/accreditation international","board of certification/accreditation international",0.142879229378158,0.158482260118432,0.0325776286655637,"33-2011","board certified/board eligible"
"147","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"47-2221","occupational safety and health administration certification"
"148","the national board of boiler and pressure vessel inspectors","the national board of boiler and pressure vessel inspectors",0.167020190567863,0.111111111111111,0.0266990727616735,"49-1011","boiler operator license"
"153","national center for construction education and research","rigger and signal person certification",0.240684156211966,0.288209653448064,0.0997988964761371,"47-1011","competent person certification"
"155","national board of surgical technology and surgical assisting","certified surgical first assistant",0.167020190567863,0.25,0.0600729137137654,"47-1011","first aid cpr aed"
"172","national institute for automotive service excellence","national institute for automotive service excellence",0.53723827255904,0.462593080651707,0.357549182901249,"49-1011","automotive service excellence certification"
"175","national board of surgical technology and surgical assisting","certified surgical first assistant",0.167020190567863,0.25,0.0600729137137654,"29-2055","first aid cpr aed"
"179","ipc - association connecting electronics industries","ipc - association connecting electronics industries",0.167020190567863,0.2,0.0480583309710123,"17-3024","ipc certification"
"184","certification board for sterile processing and distribution","certified surgical instrument specialist",0.231785250966799,0.251132059068042,0.0837447650215282,"29-2055","certified surgical technician"
"185","association of diving contractors international","life support technician",0.324266145075711,0.647159571892113,0.301913617005845,"29-2055","basic cardiac life support certification"
"186","national board of surgical technology and surgical assisting","certified surgical technologist",0.315637187830847,0.629938186430618,0.286059130773482,"29-2055","certified surgical technologist"
"195","north american technician excellence, inc.","north american technician excellence, inc.",0.494693747850057,0.592375983009139,0.421602888308059,"49-9021","north american technician excellence"
"196","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"43-6014","paralegal certification"
"197","aabc commissioning group","certified commissioning authority",0.0105305429451275,0.0210165068652759,0.000318405830003483,"49-1011","certified lifeguard"
"201","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"49-9071","security clearance"
